City_ID,City_Name,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
1275339,Mumbai,40,IN,1592166181,83,19.01,72.85,84.47,3.36
568608,Chernushka,0,RU,1592166356,82,56.51,56.08,46.96,3.09
2206939,Bluff,99,NZ,1592166357,83,-46.6,168.33,39.27,3.0
2037534,Dunhua,26,CN,1592166357,61,43.37,128.24,56.23,12.53
5859699,College,90,US,1592166357,82,64.86,-147.8,59.27,4.7
6355222,Yulara,4,AU,1592166357,65,-25.24,130.99,44.87,6.93
3356832,Henties Bay,0,NA,1592166357,49,-22.12,14.28,63.37,10.29
1855891,Nakamura,100,JP,1592166357,90,32.98,132.93,75.29,3.6
5354943,Half Moon Bay,40,US,1592166059,77,37.46,-122.43,76.26,13.87
3466165,Cidreira,8,BR,1592166357,72,-30.18,-50.21,53.64,5.77
4951594,Southbridge,100,US,1592166358,49,42.08,-72.03,70.27,5.95
2108857,Gizo Government Station,56,SB,1592166358,78,-8.1,156.84,82.94,10.13
2123814,Leningradskiy,88,RU,1592166358,82,69.38,178.42,46.04,6.64
3883457,Lebu,65,CL,1592166132,62,-37.62,-73.65,53.67,4.45
2126123,Chokurdakh,100,RU,1592166131,46,70.63,147.92,69.46,9.55
1299154,Prome,84,MM,1592166358,82,18.82,95.22,80.24,3.15
1015776,Bredasdorp,98,ZA,1592166358,93,-34.53,20.04,55.67,4.27
1507390,Dikson,3,RU,1592166358,95,73.51,80.55,31.84,16.2
1106643,Quatre Cocos,20,MU,1592166359,83,-20.21,57.76,71.87,8.05
504269,Pudozh,0,RU,1592166359,68,61.81,36.53,55.13,3.53
212902,Kindu,100,CD,1592166359,63,-2.95,25.95,73.69,0.58
3430443,Necochea,0,AR,1592166359,66,-38.55,-58.74,49.26,5.99
5357155,Hillsborough,40,US,1592166169,56,37.57,-122.38,76.26,17.22
281133,Gaza,0,PS,1592166360,78,31.5,34.47,75.27,8.01
1489853,Tazovsky,100,RU,1592166360,73,67.47,78.7,42.24,25.93
6167817,Torbay,90,CA,1592166360,100,47.67,-52.73,46.27,11.41
3513563,Kralendijk,27,BQ,1592166360,66,12.15,-68.27,86.27,21.92
5924351,Clyde River,1,CA,1592166360,86,70.47,-68.59,37.67,32.21
1805515,Jinji,97,CN,1592166360,93,23.23,110.83,75.81,2.66
2208248,Kaitangata,99,NZ,1592166360,66,-46.28,169.85,43.27,1.99
2632287,Dalvik,53,IS,1592166361,54,65.97,-18.53,59.27,13.87
3456368,Naviraí,51,BR,1592166361,81,-23.07,-54.19,72.14,1.72
1028434,Quelimane,20,MZ,1592166361,93,-17.88,36.89,66.27,5.82
3405006,Bragança,91,BR,1592166361,94,-1.05,-46.77,80.13,2.73
53372,Oodweyne,89,SO,1592166361,63,9.41,45.06,74.95,13.98
128234,Kerman,0,IR,1592166361,19,30.28,57.08,71.87,4.7
1802276,Longyan,32,CN,1592166362,88,25.11,117.02,73.04,1.77
2017155,Saskylakh,44,RU,1592166362,63,71.92,114.08,47.3,8.3
2034497,Guangming,99,CN,1592166362,62,45.33,122.78,61.12,14.36
3386213,Touros,20,BR,1592166362,78,-5.2,-35.46,80.87,3.36
172515,Abu Samrah,57,SY,1592166362,44,35.3,37.18,69.67,9.17
487928,Novikovo,98,RU,1592166362,88,51.15,37.89,65.89,18.59
2126199,Cherskiy,50,RU,1592166362,45,68.75,161.3,65.08,2.04
5866583,Saint Paul Harbor,75,US,1592166363,76,57.79,-152.41,53.87,5.82
6067472,Marystown,100,CA,1592166363,93,47.17,-55.15,56.91,4.68
2136825,Isangel,4,VU,1592166363,78,-19.55,169.27,73.33,17.2
1037125,Montepuez,41,MZ,1592166363,80,-13.13,39,63.93,8.99
5601615,Mountain Home,75,US,1592166246,34,43.13,-115.69,66.47,5.82
2160735,Lakes Entrance,85,AU,1592166363,71,-37.88,147.98,55.27,9.51
5882953,Aklavik,20,CA,1592166363,25,68.22,-135.01,77.27,8.05
3564124,Cienfuegos,100,CU,1592166364,74,22.15,-80.44,86.27,12.75
2655984,Belfast,26,GB,1592166364,72,54.58,-5.93,68.27,8.05
4035715,Avarua,75,CK,1592166131,50,-21.21,-159.78,75.47,9.17
1213855,Sibolga,5,ID,1592166364,82,1.74,98.78,78.44,3.18
8079926,Labuhan,85,ID,1592166364,85,-6.88,112.21,79.25,7.83
6148373,Sioux Lookout,75,CA,1592166365,33,50.1,-91.92,71.87,13.87
2125693,Evensk,7,RU,1592166365,62,61.95,159.23,56.35,2.57
1722803,Buluang,100,PH,1592166365,89,13.31,123.34,77.32,2.46
1257277,Sarāhan,0,IN,1592166365,42,31.52,77.8,59.49,5.12
2653590,Castle Douglas,100,GB,1592166365,81,54.94,-3.93,65.26,8.63
3131824,Vigrestad,41,NO,1592166365,63,58.57,5.7,64.67,5.82
2031964,Darhan,0,MN,1592166366,43,49.49,105.92,62.38,5.64
933995,Souillac,20,MU,1592166366,83,-20.52,57.52,71.87,8.05
2342490,Funtua,91,NG,1592166366,68,11.52,7.31,81.05,12.88
1735076,Butterworth,20,MY,1592166366,88,5.4,100.36,82.27,2.24
3372964,Lagoa,4,PT,1592166135,73,39.05,-27.98,62.65,11.86
4576653,Dillon,90,US,1592166082,69,34.42,-79.37,75.27,13.87
